,Unnamed: 0,Unnamed: 0.1,Localisation,Emplacement,name,date,Nombre de chambres,Prix par nuit,Nombre de voyageurs,Nombre de lits,Nombre de salles de bains,Localisation2,Vue sur le jardin_True,Vue sur la vallée_True,Vue sur la montagne_True,Baignoire_True,Sèche-cheveux_True,Bidet_True,Eau chaude_True,Lave-linge_True,Equipements de base_True,Cintres_True,Draps_True,Oreillers_True,Fer à repasser_True,Armoire_True,TV_True,Livres_True,Ventilateurs_True,Chauffage_True,Wifi_True,Cuisine_True,Four_True,Vaisselle et couverts_True,Jardin privé_True,Garage résidentiel_True,Parking gratuit_True,Ascenseur_True,Climatisation_True,Piscine_True,Vue sur le lac_True,Vue sur la baie_True,Saison,Score,Score1,Score2,Logement codé
252,252,306,"Brunate, Lombarofa, Italie","Emplacement4,7",Logement entier : appartement ⸱ Chez Felicitas,1 juil. 2022 - 3 juil. 2022,1.0,74.0,3.0,2.0,1.0,brunate,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1.0,0.60213251543324,0.5084581289831881,0.5007005345263187,4.0
253,253,307,"Sorico, Lombarofa, Italie","Emplacement4,8",Chambre privée dans : tente ⸱ Chez Olga,8 juil. 2022 - 10 juil. 2022,1.0,65.0,2.0,1.0,1.0,sorico,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1.0,-0.1736112226052976,-0.221773453277034,-1.087692368190023,0.0
254,254,308,"Côme, Lombarofa, Italie","Emplacement4,7",Logement entier : appartement ⸱ Chez Chiara,29 juil. 2022 - 31 juil. 2022,1.0,57.0,4.0,1.0,1.0,côme,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1.0,0.8659905893408593,0.6803338171262701,0.8659905893408593,4.0
255,255,309,"Côme, Lombarofa, Italie","Emplacement4,5",Logement entier : appartement ⸱ Chez Enrico,22 juil. 2022 - 24 juil. 2022,0.0,95.0,2.0,1.0,1.0,côme,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1.0,0.8659905893408593,0.6803338171262701,0.8659905893408593,4.0
256,256,310,"Côme, Lombarofa, Italie","Emplacement4,8",Logement entier : appartement en résidence ⸱ Chez Bryan,1 juil. 2022 - 3 juil. 2022,0.0,75.0,4.0,2.0,1.0,côme,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1.0,0.8659905893408593,0.6803338171262701,0.8659905893408593,4.0
257,257,311,"Civate, Lombarofa, Italie","Emplacement4,8",Chambre privée dans : chambre d'hôtes ⸱ Chez Barbara,22 juil. 2022 - 24 juil. 2022,1.0,41.0,3.0,2.0,1.0,civate,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1.0,0.406800827329516,0.3915917018542308,0.1060848368760554,1.0
258,258,312,"Côme, Lombarofa, Italie","Emplacement4,7",Logement entier : appartement en résidence ⸱ Chez Roberto,22 juil. 2022 - 24 juil. 2022,2.0,55.0,4.0,3.0,1.0,côme,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1.0,0.8659905893408593,0.6803338171262701,0.8659905893408593,4.0
259,259,313,"Côme, Lombarofa, Italie","Emplacement5,0",Logement entier : appartement ⸱ Chez Jennifer,1 juil. 2022 - 3 juil. 2022,2.0,109.0,4.0,3.0,2.0,côme,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1.0,0.8659905893408593,0.6803338171262701,0.8659905893408593,4.0
260,260,314,"Côme, Lombarofa, Italie","Emplacement4,8",Logement entier : appartement ⸱ Chez Simone Andrea,1 juil. 2022 - 3 juil. 2022,1.0,112.0,4.0,2.0,1.0,côme,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1.0,0.8659905893408593,0.6803338171262701,0.8659905893408593,4.0
261,261,316,"Blevio, Lombarofa, Italie","Emplacement4,2",Chambre dans résidence de tourisme ⸱ Chez Francesco,8 juil. 2022 - 10 juil. 2022,1.0,69.0,4.0,2.0,1.0,blevio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.5398034801943268,0.2075663000484014,0.4693977522706991,1.0
262,262,317,"Côme, Lombarofa, Italie","Emplacement4,7",Logement entier : appartement ⸱ Chez Neval,22 juil. 2022 - 24 juil. 2022,0.0,79.0,2.0,1.0,1.0,côme,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1.0,0.8659905893408593,0.6803338171262701,0.8659905893408593,4.0
263,263,318,"Côme, Lombarofa, Italie","Emplacement5,0",Chambre dans auberge de jeunesse ⸱ Chez Ostello Bello Lake Como,8 juil. 2022 - 10 juil. 2022,1.0,76.0,1.0,1.0,1.0,côme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.8659905893408593,0.6803338171262701,0.8659905893408593,0.0
264,264,319,"Côme, Lombarofa, Italie","Emplacement4,7",Logement entier : appartement ⸱ Chez Anna,22 juil. 2022 - 24 juil. 2022,1.0,81.0,2.0,1.0,1.0,côme,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1.0,0.8659905893408593,0.6803338171262701,0.8659905893408593,4.0
265,265,320,"Côme, Lombarofa, Italie","Emplacement5,0",Chambre dans auberge de jeunesse ⸱ Chez Ostello Bello Lake Como,29 juil. 2022 - 31 juil. 2022,1.0,74.0,1.0,1.0,1.0,côme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.8659905893408593,0.6803338171262701,0.8659905893408593,0.0
266,266,321,"Alserio, Lombarofa, Italie","Emplacement4,8",Logement entier : logement ⸱ Chez Massimiliano,1 juil. 2022 - 3 juil. 2022,1.0,50.0,3.0,1.0,1.0,alserio,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1.0,0.0,0.0,0.0,5.0
267,267,322,"Moltrasio, Lombarofa, Italie","Emplacement4,7",Logement entier : appartement ⸱ Chez Riccardo,1 juil. 2022 - 3 juil. 2022,1.0,207.0,4.0,2.0,1.0,moltrasio,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1.0,0.7516125727642122,0.599921558155447,0.6382474176329473,4.0
268,268,323,"Côme, Lombarofa, Italie","Emplacement4,7",Logement entier : appartement en résidence ⸱ Chez Daniele,1 juil. 2022 - 3 juil. 2022,1.0,120.0,2.0,1.0,1.0,côme,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1.0,0.8659905893408593,0.6803338171262701,0.8659905893408593,4.0
269,269,324,"Côme, Lombarofa, Italie","Emplacement5,0",Logement entier : appartement en résidence ⸱ Chez Giovanni,8 juil. 2022 - 10 juil. 2022,1.0,90.0,2.0,1.0,1.0,côme,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1.0,0.8659905893408593,0.6803338171262701,0.8659905893408593,4.0
270,270,325,"Bellagio, Lombarofa, Italie","Emplacement4,7",Chambre dans chambre d'hôtes ⸱ Chez Andrea,22 juil. 2022 - 24 juil. 2022,1.0,104.0,2.0,1.0,1.0,bellagio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.4513691254955156,0.2044622512122155,0.011034996617234,1.0
271,271,326,"Civate, Lombarofa, Italie","Emplacement4,8",Chambre privée dans : chambre d'hôtes ⸱ Chez Barbara,15 juil. 2022 - 17 juil. 2022,1.0,41.0,3.0,2.0,1.0,civate,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1.0,0.406800827329516,0.3915917018542308,0.1060848368760554,1.0
272,272,327,"Côme, Lombarofa, Italie","Emplacement4,8",Logement entier : appartement ⸱ Chez Fausta,1 juil. 2022 - 3 juil. 2022,1.0,150.0,2.0,4.0,1.0,côme,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1.0,0.8659905893408593,0.6803338171262701,0.8659905893408593,4.0
273,273,328,"Pognana Lario, Lombarofa, Italie",empty,Logement entier : appartement en résidence ⸱ Chez Katharina,15 juil. 2022 - 17 juil. 2022,1.0,99.0,2.0,1.0,1.0,pognana lario,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1.0,0.2482455371882951,0.1197601126002089,0.0859543677372211,4.0
274,274,329,"Côme, Lombarofa, Italie","Emplacement5,0",Logement entier : appartement ⸱ Chez Eva,29 juil. 2022 - 31 juil. 2022,0.0,116.0,2.0,1.0,1.0,côme,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1.0,0.8659905893408593,0.6803338171262701,0.8659905893408593,4.0
275,275,330,"Côme, Lombarofa, Italie",empty,Logement entier : appartement ⸱ Chez Simone,1 juil. 2022 - 3 juil. 2022,3.0,160.0,6.0,4.0,2.0,côme,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1.0,0.8659905893408593,0.6803338171262701,0.8659905893408593,4.0
276,276,331,"Laglio, Lombarofa, Italie","Emplacement4,7",Logement entier : appartement ⸱ Chez Diego,22 juil. 2022 - 24 juil. 2022,1.0,89.0,2.0,1.0,1.0,laglio,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1.0,0.8097143988558894,0.5151960211626069,0.6116237067317843,4.0
277,277,332,"Cernobbio, Lombarofa, Italie","Emplacement4,8",Chambre privée dans : chambre d'hôtes ⸱ Chez Patrizia,29 juil. 2022 - 31 juil. 2022,1.0,80.0,2.0,1.0,1.0,cernobbio,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1.0,0.9030658662885492,0.6666907078601589,0.8362400906322248,1.0
278,278,334,"Côme, Lombarofa, Italie","Emplacement5,0",Logement entier : appartement en résidence ⸱ Chez Dario,22 juil. 2022 - 24 juil. 2022,1.0,130.0,2.0,1.0,1.0,côme,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1.0,0.8659905893408593,0.6803338171262701,0.8659905893408593,4.0
279,279,335,"Bellano, Lombarofa, Italie","Emplacement4,8",Logement entier : logement ⸱ Chez Silvano,8 juil. 2022 - 10 juil. 2022,1.0,100.0,2.0,1.0,1.0,bellano,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1.0,0.2576900423520566,0.0476592619790708,-0.4177276187457954,5.0
280,280,336,"Côme, Lombarofa, Italie","Emplacement4,8",Chambre privée dans : logement ⸱ Chez Flavia,22 juil. 2022 - 24 juil. 2022,1.0,180.0,4.0,2.0,1.0,côme,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1.0,0.8659905893408593,0.6803338171262701,0.8659905893408593,2.0
281,281,337,"Côme, Lombarofa, Italie","Emplacement4,9",Chambre dans auberge de jeunesse ⸱ Chez Ostello Bello Lake Como,8 juil. 2022 - 10 juil. 2022,1.0,73.0,1.0,1.0,1.0,côme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.8659905893408593,0.6803338171262701,0.8659905893408593,0.0
282,282,339,"Côme, Lombarofa, Italie","Emplacement5,0",Logement entier : appartement en résidence ⸱ Chez Maria,22 juil. 2022 - 24 juil. 2022,1.0,169.0,4.0,2.0,1.0,côme,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1.0,0.8659905893408593,0.6803338171262701,0.8659905893408593,4.0
283,283,340,"Côme, Lombarofa, Italie","Emplacement4,9",Logement entier : appartement ⸱ Chez The House Of Travelers,22 juil. 2022 - 24 juil. 2022,1.0,139.0,2.0,1.0,1.0,côme,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1.0,0.8659905893408593,0.6803338171262701,0.8659905893408593,4.0
